model,quantization,dataset,iteration,time_to_analyze,vram_max_usage_mib
MIS,AQLM,AMINA,1,67.75728773418814,4181.0
MIS,AQLM,AMINA,2,25.44835465331562,3659.0
MIS,AQLM,AMINA,3,53.714957541786134,4167.0
MIS,AQLM,AMINA,4,50.28552936273627,3853.0
MIS,AQLM,AMINA,5,21.52475726301782,3921.0
MIS,AQLM,AMINA,6,40.21145191299729,3901.0
MIS,AQLM,AMINA,7,32.60847682435997,4129.0
MIS,AQLM,AMINA,8,68.55375518649817,3917.0
MIS,AQLM,AMINA,9,21.084254103479907,3803.0
MIS,AQLM,AMINA,10,19.195388186024502,3913.0
MIS,AQLM,BTHS,1,11.662001708522439,4687.0
MIS,AQLM,BTHS,2,10.242443719645962,4687.0
MIS,AQLM,BTHS,3,12.108863658970222,4687.0
MIS,AQLM,BTHS,4,11.989011229714379,4687.0
MIS,AQLM,BTHS,5,10.66155381128192,4687.0
MIS,AQLM,BTHS,6,11.396365781314671,4687.0
MIS,AQLM,BTHS,7,10.692207055399194,4687.0
MIS,AQLM,BTHS,8,11.84441667306237,4687.0
MIS,AQLM,BTHS,9,11.031281570438296,4687.0
MIS,AQLM,BTHS,10,10.509684741962701,4687.0
MIS,AQLM,HW,1,18.26153959799558,3963.0
MIS,AQLM,HW,2,15.202223472064361,3963.0
MIS,AQLM,HW,3,15.26135531370528,3963.0
MIS,AQLM,HW,4,14.811278588371351,3963.0
MIS,AQLM,HW,5,17.58321105223149,3963.0
MIS,AQLM,HW,6,15.176955711329356,3963.0
MIS,AQLM,HW,7,18.039033231558278,3963.0
MIS,AQLM,HW,8,22.20891389506869,3963.0
MIS,AQLM,HW,9,14.77240160270594,3963.0
MIS,AQLM,HW,10,17.609280586708337,3963.0
MIS,AQLM,MOZILLA,1,759.5246366683859,11863.0
MIS,AQLM,MOZILLA,2,798.00535885524,10489.0
MIS,AQLM,MOZILLA,3,2897.9049911715556,11681.0
MIS,AQLM,MOZILLA,4,1516.6031723101623,9825.0
MIS,AQLM,MOZILLA,5,1625.5148747859785,7717.0
MIS,AQLM,MOZILLA,6,1573.8995524880447,9549.0
MIS,AQLM,MOZILLA,7,118.90013398202427,4607.0
MIS,AQLM,MOZILLA,8,1216.2984889668878,10029.0
MIS,AQLM,MOZILLA,9,835.3256020832341,10859.0
MIS,AQLM,MOZILLA,10,75.29755150061101,4367.0
MIS,AWQ,AMINA,1,24.068060224875808,5851.0
MIS,AWQ,AMINA,2,16.535355959786102,5327.0
MIS,AWQ,AMINA,3,18.49325547646731,5717.0
MIS,AWQ,AMINA,4,18.79834327334538,5495.0
MIS,AWQ,AMINA,5,16.65655107377097,5387.0
MIS,AWQ,AMINA,6,19.305243184091523,5527.0
MIS,AWQ,AMINA,7,23.830511416541412,5565.0
MIS,AWQ,AMINA,8,17.91235835617408,5535.0
MIS,AWQ,AMINA,9,16.660764642758295,5337.0
MIS,AWQ,AMINA,10,17.012948838295415,5301.0
MIS,AWQ,BTHS,1,7.087187448050827,5711.0
MIS,AWQ,BTHS,2,7.333440128015354,5711.0
MIS,AWQ,BTHS,3,7.239144268445671,5711.0
MIS,AWQ,BTHS,4,7.2609883258119226,5711.0
MIS,AWQ,BTHS,5,7.033742296975106,5711.0
MIS,AWQ,BTHS,6,7.260967873036861,5711.0
MIS,AWQ,BTHS,7,7.2829502071253955,5711.0
MIS,AWQ,BTHS,8,7.250483859330416,5711.0
MIS,AWQ,BTHS,9,7.353317059343681,5711.0
MIS,AWQ,BTHS,10,7.313291694037616,5711.0
MIS,AWQ,HW,1,6.957846037577838,5473.0
MIS,AWQ,HW,2,6.964368492830545,5473.0
MIS,AWQ,HW,3,6.955803559860215,5473.0
MIS,AWQ,HW,4,6.934557765722275,5473.0
MIS,AWQ,HW,5,6.962206096854061,5473.0
MIS,AWQ,HW,6,7.004241731483489,5473.0
MIS,AWQ,HW,7,6.964205828728154,5473.0
MIS,AWQ,HW,8,6.976751289330423,5473.0
MIS,AWQ,HW,9,7.042506529483944,5473.0
MIS,AWQ,HW,10,8.234170977259055,5473.0
MIS,AWQ,MOZILLA,1,16.67792171938345,5947.0
MIS,AWQ,MOZILLA,2,19.139986491994932,6429.0
MIS,AWQ,MOZILLA,3,17.40771516622044,6081.0
MIS,AWQ,MOZILLA,4,25.743115405086428,6129.0
MIS,AWQ,MOZILLA,5,42.06889698817395,6253.0
MIS,AWQ,MOZILLA,6,20.80573427514173,6241.0
MIS,AWQ,MOZILLA,7,18.22595179779455,6403.0
MIS,AWQ,MOZILLA,8,18.88812366174534,6025.0
MIS,AWQ,MOZILLA,9,19.882956384215504,6231.0
MIS,AWQ,MOZILLA,10,17.177346576936543,5721.0
MIS,GPTQ,AMINA,1,15.68648752081208,6705.0
MIS,GPTQ,AMINA,2,11.676318488782272,6181.0
MIS,GPTQ,AMINA,3,14.826560628367588,6691.0
MIS,GPTQ,AMINA,4,12.752993854461238,6363.0
MIS,GPTQ,AMINA,5,11.534345012158155,6305.0
MIS,GPTQ,AMINA,6,13.203968646703288,6387.0
MIS,GPTQ,AMINA,7,13.442073966842145,6547.0
MIS,GPTQ,AMINA,8,13.690209818305448,6495.0
MIS,GPTQ,AMINA,9,11.241246878169477,6265.0
MIS,GPTQ,AMINA,10,12.64011372369714,6369.0
MIS,GPTQ,BTHS,1,4.688426430802792,6995.0
MIS,GPTQ,BTHS,2,4.717865969054401,6995.0
MIS,GPTQ,BTHS,3,4.71752977068536,6995.0
MIS,GPTQ,BTHS,4,4.6775697034318,6995.0
MIS,GPTQ,BTHS,5,4.702678445028141,6995.0
MIS,GPTQ,BTHS,6,4.701539172092453,6995.0
MIS,GPTQ,BTHS,7,4.710798524320126,6995.0
MIS,GPTQ,BTHS,8,4.7188096307218075,6995.0
MIS,GPTQ,BTHS,9,4.676230640150607,6995.0
MIS,GPTQ,BTHS,10,4.673122801585123,6995.0
MIS,GPTQ,HW,1,4.426454365486279,6401.0
MIS,GPTQ,HW,2,4.433086659060791,6401.0
MIS,GPTQ,HW,3,4.4980222943704575,6401.0
MIS,GPTQ,HW,4,4.474896194413304,6401.0
MIS,GPTQ,HW,5,4.473207434639335,6401.0
MIS,GPTQ,HW,6,4.429341731360182,6401.0
MIS,GPTQ,HW,7,4.392058485420421,6401.0
MIS,GPTQ,HW,8,4.431574049871415,6401.0
MIS,GPTQ,HW,9,4.4419421181082726,6401.0
MIS,GPTQ,HW,10,4.428873070282862,6401.0
MIS,GPTQ,MOZILLA,1,15.791643114294857,6847.0
MIS,GPTQ,MOZILLA,2,16.069816397270188,7307.0
MIS,GPTQ,MOZILLA,3,14.676962345140055,7055.0
MIS,GPTQ,MOZILLA,4,18.13242879952304,6999.0
MIS,GPTQ,MOZILLA,5,18.961686683818698,7237.0
MIS,GPTQ,MOZILLA,6,18.381141248624772,7311.0
MIS,GPTQ,MOZILLA,7,15.990222327876836,7283.0
MIS,GPTQ,MOZILLA,8,16.85482175461948,6941.0
MIS,GPTQ,MOZILLA,9,16.51647673989646,7173.0
MIS,GPTQ,MOZILLA,10,12.557869317010045,6781.0
MIS,NONE,AMINA,1,14.088859070790932,15711.0
MIS,NONE,AMINA,2,10.567643074318767,15193.0
MIS,NONE,AMINA,3,13.933156345738098,15699.0
MIS,NONE,AMINA,4,13.316515570040792,15425.0
MIS,NONE,AMINA,5,10.622178113320842,15389.0
MIS,NONE,AMINA,6,13.082761962199584,15431.0
MIS,NONE,AMINA,7,14.085305518237874,15701.0
MIS,NONE,AMINA,8,12.194852953776717,15539.0
MIS,NONE,AMINA,9,10.511380065931007,15317.0
MIS,NONE,AMINA,10,11.084833516273648,15415.0
MIS,NONE,BTHS,1,4.824493372114375,16245.0
MIS,NONE,BTHS,2,6.474796958034858,16245.0
MIS,NONE,BTHS,3,4.644307883223519,16245.0
MIS,NONE,BTHS,4,4.771097683114931,16245.0
MIS,NONE,BTHS,5,5.655794572085142,16245.0
MIS,NONE,BTHS,6,4.508655754150823,16245.0
MIS,NONE,BTHS,7,5.640631300862879,16245.0
MIS,NONE,BTHS,8,5.588803605875,16245.0
MIS,NONE,BTHS,9,4.68979875696823,16245.0
MIS,NONE,BTHS,10,7.623486683005467,16245.0
MIS,NONE,HW,1,4.315589478006586,15491.0
MIS,NONE,HW,2,4.328018055530265,15491.0
MIS,NONE,HW,3,4.282445342279971,15491.0
MIS,NONE,HW,4,4.3464609030634165,15491.0
MIS,NONE,HW,5,4.345723315840587,15491.0
MIS,NONE,HW,6,4.250970944529399,15491.0
MIS,NONE,HW,7,4.2564924254547805,15491.0
MIS,NONE,HW,8,4.230822050012648,15491.0
MIS,NONE,HW,9,4.267384024802595,15491.0
MIS,NONE,HW,10,4.259808142669499,15491.0
MIS,NONE,MOZILLA,1,14.213722370797768,15861.0
MIS,NONE,MOZILLA,2,15.127266890602186,16347.0
MIS,NONE,MOZILLA,3,13.012432424584404,16183.0
MIS,NONE,MOZILLA,4,17.041949344566092,16139.0
MIS,NONE,MOZILLA,5,20.068776025203988,16193.0
MIS,NONE,MOZILLA,6,16.912891637533903,16167.0
MIS,NONE,MOZILLA,7,14.61699576373212,16263.0
MIS,NONE,MOZILLA,8,15.326838355278596,16069.0
MIS,NONE,MOZILLA,9,18.03003607620485,16179.0
MIS,NONE,MOZILLA,10,11.101435688557103,15883.0
