"","Model","PromptA","PromptB","pvalue","VDA","SSD","Eff.Size","Best"
"1","LLAMA","BASE","PT6",0,1,"Yes","Large","BASE"
"2","LLAMA","PT1","PT6",0,1,"Yes","Large","PT1"
"3","LLAMA","PT2","PT6",0,1,"Yes","Large","PT2"
"4","LLAMA","PT3","PT6",0,1,"Yes","Large","PT3"
"5","LLAMA","PT4","PT6",0,1,"Yes","Large","PT4"
"6","LLAMA","PT5","PT6",0,1,"Yes","Large","PT5"
"7","GPT-4","BASE","PT1",1,0.55,"No","Negligible","---"
"8","GPT-4","BASE","PT2",0.038,0.33,"Yes","Medium","PT2"
"9","GPT-4","BASE","PT3",0,0.1,"Yes","Large","PT3"
"10","GPT-4","BASE","PT4",0,0.02,"Yes","Large","PT4"
"11","GPT-4","BASE","PT5",0,0.2,"Yes","Large","PT5"
"12","GPT-4","BASE","PT6",0,0.02,"Yes","Large","PT6"
"13","GPT-4","BASE","PT7",0,0.03,"Yes","Large","PT7"
"14","GPT-4","PT1","PT2",0.004,0.3,"Yes","Medium","PT2"
"15","GPT-4","PT1","PT3",0,0.08,"Yes","Large","PT3"
"16","GPT-4","PT1","PT4",0,0,"Yes","Large","PT4"
"17","GPT-4","PT1","PT5",0,0.17,"Yes","Large","PT5"
"18","GPT-4","PT1","PT6",0,0,"Yes","Large","PT6"
"19","GPT-4","PT1","PT7",0,0.02,"Yes","Large","PT7"
"20","GPT-4","PT2","PT3",0.007,0.27,"Yes","Large","PT3"
"21","GPT-4","PT2","PT4",0,0.18,"Yes","Large","PT4"
"22","GPT-4","PT2","PT5",1,0.37,"No","Small","PT5"
"23","GPT-4","PT2","PT6",0,0.18,"Yes","Large","PT6"
"24","GPT-4","PT2","PT7",0,0.2,"Yes","Large","PT7"
"25","GPT-4","PT3","PT4",0.578,0.42,"No","Small","PT4"
"26","GPT-4","PT3","PT5",1,0.6,"No","Small","PT3"
"27","GPT-4","PT3","PT6",0.578,0.42,"No","Small","PT6"
"28","GPT-4","PT3","PT7",1,0.43,"No","Small","PT7"
"29","GPT-4","PT4","PT5",0.008,0.68,"Yes","Medium","PT4"
"30","GPT-4","PT4","PT7",1,0.52,"No","Negligible","---"
"31","GPT-4","PT5","PT6",0.008,0.32,"Yes","Medium","PT6"
"32","GPT-4","PT5","PT7",0.038,0.33,"Yes","Medium","PT7"
"33","GPT-4","PT6","PT7",1,0.52,"No","Negligible","---"
"34","MISTRAL","BASE","PT3",0,1,"Yes","Large","BASE"
"35","MISTRAL","BASE","PT6",0,1,"Yes","Large","BASE"
"36","MISTRAL","PT3","PT6",0,1,"Yes","Large","PT3"
"37","MIXTRAL","BASE","PT1",0,1,"Yes","Large","BASE"
"38","MIXTRAL","BASE","PT2",0,1,"Yes","Large","BASE"
"39","MIXTRAL","BASE","PT3",0,1,"Yes","Large","BASE"
"40","MIXTRAL","BASE","PT4",0,1,"Yes","Large","BASE"
"41","MIXTRAL","BASE","PT5",0,0.88,"Yes","Large","BASE"
"42","MIXTRAL","BASE","PT6",0,1,"Yes","Large","BASE"
"43","MIXTRAL","BASE","PT7",0,1,"Yes","Large","BASE"
"44","MIXTRAL","PT1","PT2",0,1,"Yes","Large","PT1"
"45","MIXTRAL","PT1","PT3",0,0,"Yes","Large","PT3"
"46","MIXTRAL","PT1","PT4",0,1,"Yes","Large","PT1"
"47","MIXTRAL","PT1","PT5",1,0.4,"No","Small","PT5"
"48","MIXTRAL","PT1","PT6",0,1,"Yes","Large","PT1"
"49","MIXTRAL","PT2","PT3",0,0,"Yes","Large","PT3"
"50","MIXTRAL","PT2","PT5",0,0.2,"Yes","Large","PT5"
"51","MIXTRAL","PT2","PT6",0,1,"Yes","Large","PT2"
"52","MIXTRAL","PT2","PT7",0,0,"Yes","Large","PT7"
"53","MIXTRAL","PT3","PT4",0,1,"Yes","Large","PT3"
"54","MIXTRAL","PT3","PT5",1,0.52,"No","Negligible","---"
"55","MIXTRAL","PT3","PT6",0,1,"Yes","Large","PT3"
"56","MIXTRAL","PT3","PT7",0,1,"Yes","Large","PT3"
"57","MIXTRAL","PT4","PT5",0,0.2,"Yes","Large","PT5"
"58","MIXTRAL","PT4","PT6",0,1,"Yes","Large","PT4"
"59","MIXTRAL","PT4","PT7",0,0,"Yes","Large","PT7"
"60","MIXTRAL","PT5","PT6",0,0.98,"Yes","Large","PT5"
"61","MIXTRAL","PT5","PT7",1,0.6,"No","Small","PT5"
"62","MIXTRAL","PT6","PT7",0,0,"Yes","Large","PT7"
"63","GPT-3.5","BASE","PT2",0,1,"Yes","Large","BASE"
"64","GPT-3.5","BASE","PT3",0,0.12,"Yes","Large","PT3"
"65","GPT-3.5","BASE","PT5",0,0.11,"Yes","Large","PT5"
"66","GPT-3.5","BASE","PT6",0,0,"Yes","Large","PT6"
"67","GPT-3.5","BASE","PT7",0,0.1,"Yes","Large","PT7"
"68","GPT-3.5","PT2","PT3",0,0,"Yes","Large","PT3"
"69","GPT-3.5","PT2","PT5",0,0,"Yes","Large","PT5"
"70","GPT-3.5","PT2","PT6",0,0,"Yes","Large","PT6"
"71","GPT-3.5","PT2","PT7",0,0,"Yes","Large","PT7"
"72","GPT-3.5","PT3","PT5",1,0.55,"No","Negligible","---"
"73","GPT-3.5","PT3","PT6",0,0.11,"Yes","Large","PT6"
"74","GPT-3.5","PT3","PT7",1,0.53,"No","Negligible","---"
"75","GPT-3.5","PT5","PT6",0,0.09,"Yes","Large","PT6"
"76","GPT-3.5","PT5","PT7",1,0.48,"No","Negligible","---"
"77","GPT-3.5","PT6","PT7",0,0.9,"Yes","Large","PT6"
